"bookid","booktitle","bookfilename","bookdescr1","bookdescr2"
"38","База данных ""Польские заключенные воркутинских лагерей""","01.htm","База данных ""Польские заключенные воркутинских лагерей""",""
"39","База данных ""Польские спецпереселенцы в Архангельской обл.""","","База данных ""Польские спецпереселенцы в Архангельской обл.""",""
"40","База данных Красноярского общества ""Мемориал""","03.htm","База данных Красноярского общества ""Мемориал""",""
"41","База данных о жертвах репрессий Воронежской обл.","04.htm","База данных о жертвах репрессий Воронежской обл.",""
"42","База данных о жертвах репрессий Камчатской обл.","05.htm","База данных о жертвах репрессий Камчатской обл.",""
"43","База данных о жертвах репрессий Пензенской обл.","06.htm","База данных о жертвах репрессий Пензенской обл.",""
"44","База данных о жертвах репрессий Приморского края","07.htm","База данных о жертвах репрессий Приморского края",""
"45","База данных о жертвах репрессий Республики Чувашия","08.htm","База данных о жертвах репрессий Республики Чувашия",""
"46","База данных о жертвах репрессий Харьковской обл. (Украина)","09.htm","База данных о жертвах репрессий Харьковской обл. (Украина)",""
"47","Данные архивной службы республики Ингушетия","10.htm","Данные архивной службы республики Ингушетия",""
"48","Данные МВД Кабардино-Балкарии","11.htm","Данные МВД Кабардино-Балкарии",""
"49","Данные УВД Томской обл.","12.htm","Данные УВД Томской обл.",""
"50","Книга памяти ""Узницы АЛЖИРа""","80.htm","Книга памяти ""Узницы АЛЖИРа""",""
"51","Книга памяти ""Хранить вечно"" (Акмолинская обл., Казахстан)","80.htm","Книга памяти ""Хранить вечно"" (Акмолинская обл., Казахстан)",""
"52","Книга памяти Алма-Атинской обл. (Казахстан)","80.htm","Книга памяти Алма-Атинской обл. (Казахстан)",""
"53","Книга памяти Алтайского края","16.htm","Книга памяти Алтайского края",""
"54","Книга памяти Амурской обл.","17.htm","Книга памяти Амурской обл.",""
"55","Книга памяти Астраханской обл.","18.htm","Книга памяти Астраханской обл.",""
"56","Книга памяти Белгородской обл.","19.htm","Книга памяти Белгородской обл.",""
"57","Книга памяти Владимирской обл.","20.htm","Книга памяти Владимирской обл.",""
"58","Книга памяти г.Миасс Челябинской обл.","96.htm","Книга памяти г.Миасс Челябинской обл.",""
"59","Книга памяти г.Нижний Тагил, Свердловская обл.","22.htm","Книга памяти г.Нижний Тагил, Свердловская обл.",""
"60","Книга памяти Иркутской обл.","23.htm","Книга памяти Иркутской обл.",""
"61","Книга памяти Калининской обл.","24.htm","Книга памяти Калининской обл.",""
"62","Книга памяти Калужской обл.","25.htm","Книга памяти Калужской обл.",""
"63","Книга памяти Кемеровской обл.","26.htm","Книга памяти Кемеровской обл.",""
"64","Книга памяти Кировской обл.","27.htm","Книга памяти Кировской обл.",""
"65","Книга памяти Курганской обл.","28.htm","Книга памяти Курганской обл.",""
"66","Книга памяти Курской обл.","29.htm","Книга памяти Курской обл.",""
"67","Книга памяти Липецкой обл.","30.htm","Книга памяти Липецкой обл.",""
"68","Книга памяти Магаданской обл.","31.htm","Книга памяти Магаданской обл.",""
"69","Книга памяти Московской обл.","32.htm","Книга памяти Московской обл.",""
"70","Книга памяти Мурманской обл.","33.htm","Книга памяти Мурманской обл.",""
"71","Книга памяти Нижегородской обл.","34.htm","Книга памяти Нижегородской обл.",""
"72","Книга памяти Новгородской обл.","35.htm","Книга памяти Новгородской обл.",""
