"regionid","regionrang","regionparent","regiontitle"
"1","1","1","СССР"
"2","2","1","Азербайджанская ССР"
"3","2","1","Армянская ССР"
"4","2","1","Белорусская ССР"
"5","2","1","Грузинская ССР"
"6","2","1","Казахская ССР"
"7","3","6","Актюбинская область"
"8","3","6","Алма-Атинская область"
"9","3","6","Восточно-Казахстанская область"
"10","3","6","Гурьевская область"
"11","3","6","Западно-Казахстанская область"
"12","3","6","Карагандинская область"
"13","3","6","Кустанайская область"
"14","3","6","Северо-Казахстанская область"
"15","3","6","Южно-Казахстанская область"
"16","2","1","Киргизская ССР"
"17","2","1","РСФСР"
"18","3","17","Азово-Черноморский край"
"19","3","17","Алтайский край"
"20","3","17","Амурская область"
"21","3","17","Архангельская область"
"22","3","17","Башкирская АССР"
"23","3","17","Бурято-Монгольская АССР"
"24","3","17","Вологодская область"
"25","3","17","Воронежская область"
"26","3","17","Восточно-Сибирская область"
"27","3","17","Горьковская область"
"28","3","17","Дагестанская АССР"
"29","3","17","Дальне-Восточный край"
"30","3","17","Западная область"
"31","3","17","Западно-Сибирский край"
"32","3","17","Ивановская область"
"33","3","17","Иркутская область"
"34","3","17","Кабардино-Балкарская АССР"
"35","3","17","Калининская область"
"36","3","17","Калмыцкая АССР"
"37","3","17","Камчатская область"
"38","3","17","Карельская АССР"
"39","3","17","Кировская область"
"40","3","17","Коми АССР"
"41","3","17","Краснодарский край"
"42","3","17","Красноярский край"
"43","3","17","Крымская АССР"
"44","3","17","Куйбышевская область"
"45","3","17","Курская область"
"46","3","17","Ленинградская область"
"47","3","17","Марийская АССР"
"48","3","17","Мордовская АССР"
"49","3","17","Московская область"
"50","3","17","Новосибирская область"
"51","3","17","Омская область"
"52","3","17","Орджоникидзевский край"
"53","3","17","Оренбургская область"
"54","3","17","Орловская область"
"55","3","17","Ростовская область"
"56","3","17","Рязанская область"
"57","3","17","Саратовская область"
"58","3","17","Свердловская область"
"59","3","17","Северная область"
"60","3","17","Северо-Осетинская АССР"
"61","3","17","Смоленская область"
"62","3","17","Сталинградская область"
"63","3","17","Тамбовская область"
"64","3","17","Татарская АССР"
"65","3","17","Томская область"
"66","3","17","Тульская область"
"67","3","17","Хабаровский край"
"68","3","17","Челябинская область"
"69","3","17","Чечено-Ингушская АССР"
"70","3","17","Читинская область"
"71","3","17","Ярославская область"
"72","2","1","Таджикская ССР"
"73","2","1","Туркменская ССР"
"74","2","1","Узбекская ССР"
"75","2","1","Украинская ССР"
"76","3","75","Винницкая область"
"77","3","75","Днепропетровская область"
"78","3","75","Донецкая область"
"79","3","75","Житомирская область"
"80","3","75","Каменец-Подольская область"
"81","3","75","Киевская область"
"82","3","75","Молдавская АССР"
"83","3","75","Николаевская область"
"84","3","75","Одесская область"
"85","3","75","Полтавская область"
"86","3","75","Харьковская область"
"87","3","75","Черниговская область"
