"textid","textcaption"
"1",""
"2","1-я КАТЕГОРИЯ"
"3","СПИСОК<BR>ЛИЦ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХОВНОГО СУДА СОЮЗА С.С.Р."
"4","СВЕРДЛОВСКАЯ ОБЛАСТЬ"
"5","гор. ЛЕНИНГРАД"
"6","СПИСОК<BR>НА ЛИЦ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХОВНОГО СУДА СССР"
"7","ОМСКАЯ ОБЛАСТЬ"
"8","СПИСОК<BR>ЛИЦ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ<BR>ВЕРХОВНОГО СУДА СОЮЗА ССР"
"9","КРАСНОЯРСКИЙ КРАЙ"
"10","ГОРЬКОВСКАЯ ОБЛАСТЬ"
"11","ЗАПАДНО-СИБИРСКИЙ КРАЙ"
"12","АЗОВО-ЧЕРНОМОРСКИЙ КРАЙ"
"13","БАКУ"
"14","ОРДЖОНИКИДЗЕВСКИЙ КРАЙ"
"15","МОСКВА-ЦЕНТР"
"16","МОСКОВСКАЯ ОБЛАСТЬ"
"17","ГРУЗИНСКАЯ С.С.Р."
"18","УКРАИНСКАЯ С.С.Р."
"19","СПИСОК<BR>ЛИЦ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХОВНОГО СУДА Союза ССР"
"20","АРМЕНИЯ"
"21","УКРАИНСКАЯ ССР"
"22","СПИСОК<BR>ЛИЦ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХОВНОГО СУДА СССР"
"23","СПИСОК<BR>ЛИЦ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХОВНОГО СУДА СОЮЗА СССР"
"24","СПИСОК<BR>ЛИЦ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХСУДА СОЮЗА С.С.Р."
"25","СПИСОК<BR>лиц, подлежащих суду Военной Коллегии ВЕРХОВНОГО СУДА С.С.С.Р."
"26","гор. ХАБАРОВСК"
"27","КАЛИНИНСКАЯ ОБЛАСТЬ"
"28","СПИСОК<BR>лиц, подлежащих суду Военной Коллегии ВЕРХОВНОГО СУДА С.С.Р."
"29","СПИСОК<BR>лиц, подлежащих суду Военной Коллегии ВЕРХОВНОГО СУДА СОЮЗА С.С.Р."
"30","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ"
"31","ЧЕЛЯБИНСКАЯ ОБЛАСТЬ"
"32","СПИСОК<BR>лиц, подлежащих суду Военной Коллегии Верховного Суда Союза ССР"
"33","СПИСОК<BR>ЛИЦ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХСУДА СОЮЗА ССР"
"34","СОВЕРШЕННО-СЕКРЕТНО"
"35","МОСКВА-ЦЕНТР и МОСКОВСКАЯ ОБЛАСТЬ"
"36","ДАЛЬНЕ-ВОСТОЧНЫЙ КРАЙ"
"37","КАЗАХСКАЯ С.С.Р."
"38","СТАЛИНГРАДСКАЯ ОБЛАСТЬ"
"39","ОРЕНБУРГСКАЯ ОБЛАСТЬ"
"40","СПИСОК<BR>ОБВИНЯЕМЫХ ПО ВОЕННО-ТРОЦКИСТСКОЙ ОРГАНИЗАЦИИ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХСУДА СССР"
"41","СОВЕРШЕННО СЕКРЕТНО"
"42","СПИСОК<BR>ОБВИНЯЕМЫХ, ПОДЛЕЖАЩИХ СУДУ ВОЕННОЙ КОЛЛЕГИИ ВЕРХСУДА С.С.С.Р.<BR><BR>ПО 1-й КАТЕГОРИИ"
"43","СПИСОК"
"44","ЯРОСЛАВСКАЯ ОБЛАСТЬ"
"45","БЕЛОРУССКАЯ С.С.Р."
"46","МОСКВА-ЦЕНТР И МОСКОВСКАЯ ОБЛАСТЬ"
"47","ВОРОНЕЖСКАЯ ОБЛАСТЬ"
"48","КАЗАХСКАЯ ССР"
"49","ВОСТОЧНО-СИБИРСКАЯ ОБЛАСТЬ"
"50","АЗЕРБАЙДЖАНСКАЯ С.С.Р."
"51","СПИСОК<BR>лиц, подлежащих суду Военной Коллегии Верхсуда Союза ССР"
"52","МОСКВА-ЦЕНТР, МОСКОВСКАЯ ОБЛАСТЬ<BR>ДТО ГУГБ МОСКОВСКОГО УЗЛА"
"53","НОВОСИБИРСКАЯ ОБЛАСТЬ"
"54","РОСТОВСКАЯ ОБЛАСТЬ"
"55","НОВОСИБИРСКАЯ ОБЛАСТЬ<BR>и<BR>ДТО ГУГБ ТОМСКОЙ ж.д."
"56","ИВАНОВСКАЯ ОБЛАСТЬ"
"57","СМОЛЕНСКАЯ ОБЛАСТЬ"
"58","БАШКИРСКАЯ А.С.С.Р."
"59","МОСКВА-ЦЕНТР<BR>ДЗЕРЖИНСКАЯ, ЛЕНИНСКАЯ, КИЕВСКАЯ Ж.Д. и МЕТРО"
"60","ОРДЖОНИКИДЗЕВСКИЙ КРАЙ. Ж.Д.им.ВОРОШИЛОВА - г.РОСТОВ н/Д"
"61","КРАСНОЯРСКИЙ КРАЙ. КРАСНОЯРСКАЯ ж.д. - гор.Красноярск"
"62","ЯРОСЛАВСКАЯ ОБЛ. КАЛИНИНСКАЯ ОБЛАСТЬ, КРЫМСКАЯ АССР. СМОЛЕНСКАЯ ОБЛ.<BR>гор.ГОРЬКИЙ - ГОРЬКОВСКАЯ ж.д."
"63","БАШКИРСКАЯ А.С.С.Р.<BR>ЧЕЛЯБИНСКАЯ ОБЛАСТЬ"
"64","СВЕРДЛОВСКАЯ ОБЛАСТЬ и г.СВЕРДЛОВСК Ж.Д.им.КАГАНОВИЧА"
"65","УКРАИНСКАЯ С.С.Р. ОДЕССКАЯ ж.д. - г.Одесса"
"66","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ<BR>КАРЕЛЬСКАЯ А.С.С.Р."
"67","АРМЯНСКАЯ С.С.Р."
"68","УКРАИНСКАЯ С.С.Р.<BR>ХАРЬКОВ-ЮЖНАЯ Ж.Д. ДНЕПРОПЕТРОВСК-СТАЛИНСКАЯ Ж.Д."
"69","СВЕРДЛОВСКАЯ ОБЛАСТЬ<BR>ОМСК - ОМСКАЯ ЖЕЛ.ДОРОГА"
"70","ЧЕЧЕНО-ИНГУШСКОЙ АССР<BR>КРЫМСКАЯ А.С.С.Р."
"71","АЗЕРБАЙДЖАНСКАЯ ССР"
"72","БЕЛОРУССКАЯ ССР"
"73","ЧЕЛЯБИНСКАЯ ОБЛАСТЬ<BR>ЧЕЛЯБИНСК - ЮЖНО-УРАЛЬСК.ЖЕЛ.ДОР."
"74","ЯРОСЛАВСКАЯ ОБЛАСТЬ. ЯРОСЛАВЛЬ-Ярославск.жел.дор."
