"sublistid","tom","listnum","adate","datetext","alistid","sublistnum","sublisttitle","geography","kat1","kat2","kat3","kat1count","kat2count","kat3count","grif","kind","podp_fin","podp_pb","podp_stalin","podp_molotov","podp_kaganovic","podp_voroshilov","podp_mikoyan","podp_jdanov","podp_ejov","simple"
"1","1","2","0000-00-00","19 марта 1937 г.","4","1","Свердловская область","","1","1","1","111","73","13","","0","","Сталин, Молотов, Каганович, Микоян, Ворошилов","1","1","1","1","1","1","1","1"
"2","1","3","0000-00-00","27 марта 1937 г.","5","1","Западно-Сибирский край","","1","1","1","173","83","22","","0","Курский (нач.4-го отдела ГУГБ комиссар ГБ 3 ранга)","Сталин, Молотов, Ворошилов, Каганович","1","1","1","1","1","1","1","1"
"3","1","4","0000-00-00","апреля 1937 г.","6","1","г.Ленинград","","1","1","1","145","50","1","","0","Гендин (зам.нач.4-го отдела ГУГБ НКВД ст.майор ГБ)","Сталин, Ворошилов, Каганович, Жданов, Молотов","1","1","1","1","1","1","1","1"
"4","1","5","0000-00-00","1 апреля 1937 г.","7","1","Свердловская область","","1","1","1","44","25","3","","0","Агранов (зам.НК ВД СССР, нач.4-го отдела ГУГБ Комиссар ГБ)","Сталин, Молотов, Каганович","1","1","1","1","1","1","1","1"
"5","1","6","0000-00-00","5 апреля 1937 г.","8","1","Омская область","","1","1","1","10","33","1","","0","Курский (нач.4-го отдела ГУГБ НКВД Комиссар ГБ 3 ранга)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"6","1","7","0000-00-00","5 апреля 1937 г.","9","1","Красноярский край","","1","1","1","81","52","22","","0","Курский (нач.4-го отдела ГУГБ НКВД Комиссар ГБ 3 ранга)","Сталин, Молотов, Каганович, Жданов, Ворошилов","1","1","1","1","1","1","1","1"
"7","1","8","0000-00-00","5 апреля 1937 г.","10","1","Горьковская область","","1","1","1","23","29","20","","0","Курский (нач.4-го отдела ГУГБ НКВД Комиссар ГБ 3 ранга)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"8","1","9","0000-00-00","19 апреля 1937 г.","11","1","Западно-Сибирский край","","1","1","1","58","21","4","","0","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","Сталин, Каганович, Ворошилов, Жданов","1","1","1","1","1","1","1","1"
"9","1","10","0000-00-00","23 апреля 1937 г.","12","1","Азово-Черноморский край","","1","1","1","133","40","2","","0","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
"10","1","11","0000-00-00","23 апреля 1937 г.","13","1","Баку","","1","1","1","39","17","2","","0","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","Сталин, Молотов, Каганович, Ворошилов","1","1","1","1","1","1","1","1"
