"titleid","ageographyid","agroupid","sublisttitle","subgeogroup","agroup"
"1","49","0","Москва-Центр","",""
"2","81","0","Украина","Киев",""
"3","86","0","Украина","Харьков",""
"4","77","0","Украина","Днепропетровск",""
"5","78","0","Украина","Донбасс",""
"6","84","0","Украина","Одесса",""
"7","82","0","Украина","А.М. С.С.Р.",""
"8","49","0","Московская область","",""
"9","31","0","Западно-Сибирский край","",""
"10","18","0","Азово-Черноморский край","",""
"11","58","0","Свердловская область","",""
"12","2","0","Баку","",""
"13","42","0","Красноярский край","",""
"14","57","0","Саратовская область","",""
"15","57","11","Саратовская область","(Группа Гофман-Леова)",""
"16","62","0","Сталинградская область","",""
"17","27","0","Горьковская область","",""
"18","44","0","Куйбышевская область","",""
"19","6","0","Казахстан","",""
"20","32","0","Ивановская область","",""
"21","58","0","Свердловская область","",""
"22","31","0","Западно-Сибирский край","",""
"23","46","0","г.Ленинград","",""
"24","58","0","Свердловская область","",""
"25","51","0","Омская область","",""
"26","42","0","Красноярский край","",""
"27","27","0","Горьковская область","",""
"28","31","0","Западно-Сибирский край","",""
"29","18","0","Азово-Черноморский край","",""
"30","2","0","Баку","",""
"31","52","0","Орджоникидзевский край","",""
"32","52","0","Орджоникидзевский край","г.Пятигорск",""
"33","46","9","г.Ленинград","","Троцкисты"
"34","46","8","г.Ленинград","","Правые"
"35","46","9","г.Ленинград","","Троцкисты"
"36","46","8","г.Ленинград","","Правые"
"37","46","9","г.Ленинград","","Троцкисты"
"38","46","8","г.Ленинград","","Правые"
"39","49","9","Москва-Центр","","Троцкисты"
"40","49","8","Москва-Центр","","Правые"
"41","49","9","Москва-Центр","","Троцкисты"
"42","49","8","Москва-Центр","","Правые"
"43","49","9","Москва-Центр","","Троцкисты"
"44","49","9","Московская Область","","Троцкисты"
"45","49","8","Московская Область","","Правые"
"46","49","9","Московская Область","","Троцкисты"
"47","49","0","Московская Область","",""
"48","5","0","Грузинская ССР","",""
"49","49","0","Москва-Центр","",""
"50","52","0","Орджоникидзевский край","",""
"51","81","0","Украинская ССР","г.Киев",""
"52","78","0","Украинская ССР","г.Сталино",""
"53","86","0","Украинская ССР","г.Харьков",""
"54","77","0","Украинская ССР","г.Днепропетровск",""
"55","84","0","Украинская ССР","г.Одесса",""
"56","76","0","Украинская ССР","г.Винница",""
"57","82","0","Украинская ССР","г.Тирасполь",""
"58","81","0","Украинская ССР","г.Киев",""
"59","78","0","Украинская ССР","г.Сталино",""
"60","86","0","Украинская ССР","г.Харьков",""
"61","77","0","Украинская ССР","г.Днепропетровск",""
"62","76","0","Украинская ССР","г.Винница",""
"63","58","0","Свердловская область","",""
"64","49","9","Московская область","","Троцкисты"
"65","49","8","Московская область","","Правые"
"66","49","6","Московская область","","Децисты"
"67","49","5","Московская область","","Брандлеровцы"
"68","49","7","Московская область","","Меньшевики"
"69","49","10","Московская область","","Эсеры"
"70","49","9","Московская область","","Троцкисты"
"71","49","10","Московская область","","Эсеры"
"72","17","1","Представлен НКВД СССР - Бельский","",""
"73","3","0","Армения","",""
"74","81","0","Украинская ССР","г.Киев",""
"75","78","0","Украинская ССР","г.Сталино",""
"76","86","0","Украинская ССР","г.Харьков",""
"77","77","0","Украинская ССР","г.Днепропетровск",""
"78","84","0","Украинская ССР","г.Одесса",""
"79","81","0","Украинская ССР","г.Киев",""
"80","78","0","Украинская ССР","г.Сталино",""
"81","86","0","Украинская ССР","г.Харьков",""
"82","77","0","Украинская ССР","г.Днепропетровск",""
"83","84","0","Украинская ССР","г.Одесса",""
